c,Data Collectors,Clover,Whistle,Taxes,Legs,Hydrant,Dime,Girls,Quilt,Error,Beef,Total,Hear/See/Both
1,Quinn Mahoney,1,1,0,0,1,0,1,1,1,1,7,Hear
2,Quinn Mahoney,1,1,0,1,0,1,1,1,0,1,7,Both
3,Quinn Mahoney,1,1,1,1,0,1,1,0,1,1,8,Hear
4,Quinn Mahoney,1,1,1,1,1,0,1,1,1,0,8,Both
5,Elizabeth Yi,1,1,0,1,1,1,1,1,1,1,9,See
6,Elizabeth Yi,1,1,1,0,1,0,1,1,1,0,7,Hear
7,Elizabeth Yi,1,1,1,1,0,0,1,0,1,1,7,See
8,Elizabeth Yi,1,1,0,1,1,1,1,0,1,1,8,Both
9,Kate,1,1,1,1,0,0,1,0,0,1,6,Hear
10,Kate,1,1,1,1,1,0,0,1,0,0,6,Hear
11,Kate,1,1,1,0,1,1,1,0,0,0,6,See
12,Kate,1,1,1,1,1,1,1,0,0,1,8,Hear
13,Kate,1,1,1,1,0,0,0,1,1,1,7,Hear
14,Kate,1,0,0,0,1,0,1,1,0,1,5,See
15,Noah,1,1,1,0,1,1,1,1,1,1,9,Both
16,Noah,1,1,0,0,0,1,1,1,1,1,7,See
17,Noah,1,1,0,0,1,1,1,1,1,1,8,See
18,Noah,1,1,1,1,1,1,1,0,1,1,9,Hear
19,Muqsit,1,1,1,0,1,1,1,1,1,1,9,Hear
20,Muqsit,1,1,1,1,0,1,1,1,0,1,8,See
21,Muqsit,1,1,1,1,1,1,1,0,0,1,8,Both
22,Muqsit,1,1,0,1,1,0,1,1,1,1,8,Hear
23,Audrey,1,1,1,1,1,0,1,0,1,1,8,Both
24,Audrey,1,1,1,0,1,0,0,1,1,1,7,Both
25,Audrey,1,1,1,0,0,1,1,1,1,1,8,See
26,Audrey,1,1,1,1,0,0,0,0,0,1,5,Hear
27,Mark,1,1,1,1,1,1,1,0,0,1,8,See
28,Mark,1,1,0,1,1,1,0,0,0,0,5,Both
29,Mark,1,1,1,1,1,0,1,1,0,0,7,Hear
30,Mark,1,1,0,1,1,0,1,0,0,0,5,Hear
31,Jackson,1,1,0,0,1,1,0,0,1,1,6,See
32,Jackson,1,1,1,1,1,0,1,0,0,0,6,Hear
33,Jackson,1,1,1,1,0,0,1,1,1,1,8,Hear
34,Jackson,1,1,1,0,0,0,1,1,1,1,7,Both
35,Jess,1,1,1,1,0,0,1,0,0,1,6,See
36,Jess,1,1,1,0,1,0,1,0,0,1,6,See
37,Jess,1,1,1,1,1,1,1,0,0,1,8,Hear
38,Jess,1,1,1,0,0,0,0,0,1,0,4,See
39,Danny,1,1,0,1,0,1,1,1,1,1,8,Both
40,Danny,1,0,1,1,1,1,1,1,0,1,8,Hear
41,Danny,1,1,1,0,0,0,0,0,1,1,5,Both
42,Danny,1,1,1,0,1,1,1,1,0,1,8,See
43,Michael,1,1,1,1,1,1,1,0,1,1,9,Hear
44,Michael,1,1,1,0,0,0,1,0,0,1,5,Both
45,Michael,1,1,1,1,0,1,1,0,0,1,7,See
46,Michael,1,0,1,0,1,0,1,0,0,1,5,Hear
47,Sarah,1,1,1,0,1,1,1,1,1,0,8,Both
48,Sarah,1,0,1,1,1,1,1,1,0,1,8,Hear
49,Sarah,1,1,0,1,1,0,0,0,1,1,6,See
50,Sarah,0,0,1,1,1,0,1,0,0,1,5,Hear
51,Melanie,1,1,1,1,1,0,1,1,0,1,8,See
52,Melanie,1,0,1,1,0,1,1,0,0,1,6,Hear
53,Melanie,1,1,1,1,1,1,1,0,0,1,8,See
54,Melanie,1,1,1,0,1,0,1,1,1,1,8,Hear
55,Santiago,1,1,0,1,0,1,1,1,1,1,8,See
56,Santiago,1,1,1,0,1,1,1,1,1,1,9,See
57,Santiago,1,1,0,1,1,0,0,1,0,1,6,Hear
58,Santiago,1,0,1,1,0,0,1,0,1,1,6,Hear
59,Allison,1,0,1,1,0,1,1,1,1,1,8,See
60,Allison,1,1,0,1,0,0,1,0,1,1,6,Hear
61,Allison,1,1,1,1,1,1,1,0,0,1,8,Both
62,Allison,1,1,1,0,0,1,1,0,0,1,6,Hear
