                                                                                                                                         ,Type,Red,Orange,Yellow,Green,Blue,Brown,Total,Weight,Scale
1,peanut,1,0,0,1,6,0,8,20,D
2,pb,1,3,0,2,1,3,10,19,D
3,plain,2,0,3,4,3,3,15,14,D
4,caramel,0,1,3,0,1,1,6,19,D
5,plain,2,4,0,2,7,0,15,13,E
6,peanut,0,2,1,2,2,0,7,19,E
7,pb,0,4,2,3,1,1,11,21,E
8,caramel,1,0,2,0,2,1,6,18,E
9,caramel,0,1,0,2,1,3,7,19,E
10,pb,0,1,4,2,0,4,11,18,E
11,plain,4,2,2,2,4,1,15,14,E
12,peanut,1,0,2,2,1,1,7,18,E
13,peanut,0,1,4,0,2,0,7,21,D
14,pb,4,1,1,2,2,1,11,20,D
15,plain,0,5,3,3,5,0,16,15,D
16,caramel,2,0,0,1,0,3,6,18,D
17,plain,2,1,1,2,6,2,14,13,D
18,pb,1,2,3,1,1,3,11,20,D
19,peanut,1,2,1,1,2,1,8,21,D
20,caramel,2,0,3,0,1,0,6,18,D
21,peanut,0,2,1,2,1,1,7,21,A
22,pb,1,2,4,2,1,1,11,19,A
23,plain,1,5,2,2,4,1,15,12,A
24,caramel,0,0,1,0,3,2,6,15,A
25,plain,2,2,4,1,3,4,16,14,C
26,pb,3,0,0,4,2,2,11,18,C
27,peanut,0,2,0,2,2,1,7,19,C
28,caramel,0,1,2,1,1,1,6,16,C
29,peanut,1,0,0,3,2,0,6,19,C
30,plain,4,2,2,0,6,1,15,14,C
31,caramel,2,0,0,1,2,2,7,18,C
32,pb,0,0,2,6,2,0,10,15,C
33,plain,2,1,3,3,3,2,14,12,C
34,peanut,0,0,2,3,1,1,7,18,C
35,pb,0,4,1,0,1,4,10,18,C
36,caramel,0,2,0,1,1,2,6,17,C
37,peanut,0,1,2,1,2,0,6,18,D
38,pb,3,0,3,0,2,1,9,18,D
39,plain,2,11,0,2,1,0,16,15,D
40,caramel,1,2,1,0,1,1,6,18,D
41,caramel,0,1,2,2,1,1,7,19,B
42,pb,1,2,2,0,2,4,11,17,B
43,peanut,0,0,2,3,0,1,6,16,B
44,plain,2,2,5,0,4,3,16,14,B
45,peanut,1,2,2,1,0,0,6,17,C
46,pb,2,1,4,0,1,2,10,18,C
47,plain,5,1,1,2,3,3,15,13,C
48,caramel,0,2,0,3,1,1,7,19,C
49,plain,1,7,1,2,4,0,15,13,E
50,pb,0,2,1,4,0,3,10,20,E
51,peanut,0,0,1,2,1,0,4,12,E
52,caramel,0,1,1,1,2,2,7,19,E
53,plain,1,3,2,4,3,2,15,13,C
54,caramel,1,2,1,0,1,3,8,22,C
55,peanut,2,0,3,1,1,1,8,19,C
56,pb,5,0,2,1,1,1,10,20,C
57,plain,2,5,3,1,4,0,15,13,C
58,peanut,1,0,1,2,1,1,6,17,C
59,pb,2,2,1,2,1,1,9,16,C
60,caramel,0,1,1,0,1,1,4,9,C
62,peanut,1,2,2,0,0,1,6,17,C
63,pb,0,1,3,1,2,3,10,18,C
64,plain,3,4,2,1,4,1,15,13,C
65,caramel,0,0,1,2,1,2,6,17,C
66,pb,3,0,0,0,2,5,10,18,A
67,caramel,1,2,0,0,2,1,6,17,A
68,plain,1,6,3,1,5,0,16,14,A
69,peanut,1,1,3,1,1,1,8,20,A
72,plain,3,1,1,3,3,2,13,12,B
73,pb,2,3,2,1,2,1,11,21,B
74,caramel,0,3,1,1,1,1,7,19,B
75,peanut,0,1,0,1,3,1,6,17,B
77,caramel,2,1,0,0,1,3,7,20,E
78,pb,0,4,1,3,1,2,11,20,E
79,peanut,1,2,0,1,2,1,7,17,E
80,plain,0,2,2,2,6,2,14,12,E
81,peanut,0,0,2,2,3,1,8,21,A
82,pb,0,2,2,3,1,1,9,15,A
83,plain,1,4,4,1,3,2,15,14,A
84,caramel,0,0,2,0,1,3,6,17,A
90,peanut,2,1,1,0,2,1,7,19,A
91,pb,3,1,2,1,0,2,9,18,A
92,plain,2,4,3,1,1,0,11,12,A
93,caramel,1,2,2,0,0,3,8,21,A
94,plain,2,3,4,0,5,2,16,15,A
95,peanut,0,1,0,4,3,0,8,20,A
97,pb,0,2,1,0,3,3,9,16,A
98,caramel,2,1,2,0,0,2,7,19,A
99,caramel,1,2,2,1,0,1,7,19,C
100,plain,0,4,3,1,4,3,15,13,C
101,pb,4,0,2,2,2,1,11,20,C
102,peanut,1,0,6,1,0,1,9,25,C
103,peanut,0,1,3,1,1,1,7,17,C
104,pb,0,2,3,3,1,0,9,17,C
105,plain,1,1,2,3,6,3,16,14,C
106,caramel,0,1,0,3,1,2,7,14,C
107,peanut,1,2,4,0,0,0,7,21,D
108,pb,0,1,0,1,4,4,10,19,D
109,plain,1,4,3,3,5,1,17,16,D
110,caramel,2,1,0,1,1,2,7,20,D
111,peanut,0,2,2,1,1,1,7,19,B
112,pb,3,0,3,2,2,1,11,19,B
113,plain,1,6,0,4,4,2,17,16,B
114,caramel,2,1,0,1,1,1,6,18,B
115,peanut,0,3,1,2,1,1,8,21,E
116,plain,2,1,1,0,5,6,15,16,E
117,caramel,1,2,1,1,0,1,6,16,E
118,pb,1,0,4,1,2,2,10,20,E
119,peanut,2,1,1,1,1,1,7,20,E
123,pb,0,2,2,3,2,0,9,16,E
124,plain,0,2,4,1,6,1,6,13,E
125,caramel,3,1,1,3,0,0,8,23,E
127,plain,1,4,4,1,5,1,16,14,B
128,peanut,3,1,2,0,1,1,8,22,B
129,caramel,1,0,2,1,3,0,7,18,B
130,pb,1,3,1,4,1,1,11,20,B
131,plain,1,5,2,2,0,1,11,14,E
132,peanut,2,0,1,3,1,0,7,22,E
133,pb,3,2,3,2,0,1,11,22,E
134,caramel,3,0,0,3,0,1,7,21,E
135,peanut,0,1,1,2,2,0,6,19,D
136,pb,2,2,1,1,2,2,10,18,D
137,plain,0,1,3,2,5,3,15,15,D
138,caramel,2,1,1,0,1,2,7,20,D
139,peanut,0,0,0,5,2,1,8,23,D
140,pb,2,2,3,2,0,1,10,19,D
141,plain,1,3,3,1,2,2,12,14,D
142,caramel,2,0,0,0,3,1,6,18,D
143,peanut,0,0,2,2,1,1,6,17,B
144,pb,0,4,0,0,4,2,10,18,B
145,plain,2,2,0,2,6,1,13,10,B
146,caramel,0,0,4,1,1,0,6,17,B
147,plain,1,8,2,0,3,4,18,14,C
148,pb,2,1,1,2,1,4,11,20,C
149,peanut,1,3,3,0,0,1,8,21,C
150,caramel,1,2,2,0,2,1,8,21,C
151,plain,4,1,0,2,6,1,14,12,B
154,pb,1,3,2,1,2,6,15,27,B
155,caramel,1,0,0,1,1,3,6,18,B
156,peanut,0,1,1,5,0,0,7,20,B
