Observation,Lighting,Angle,Baseline,ActualResponse,Phone,Difference
1,inside,up,6,6.5,iPhone,0.5
2,outside,down,8,6,iPhone,-2
3,inside,middle,6,4,iPhone,-2
4,outside,up,10,8,iPhone,-2
5,outside,middle,7,5,iPhone,-2
6,inside,down,6,4,iPhone,-2
7,outside,middle,6,3,iPhone,-3
8,outside,up,5,4,iPhone,-1
9,inside,down,3,2,iPhone,-1
10,inside,up,5,4,iPhone,-1
11,inside,middle,5,4,iPhone,-1
12,outside,down,3,5,iPhone,2
13,inside,up,4,2,iPhone,-2
14,outside,up,8,7,iPhone,-1
15,outside,down,7,6,iPhone,-1
16,inside,down,9,6,iPhone,-3
17,outside,middle,10,10,Samsung,0
18,inside,middle,6,3,iPhone,-3
19,outside,down,4,5,iPhone,1
20,outside,middle,5,2,iPhone,-3
21,outside,up,7,6,other,-1
22,inside,middle,1,1,iPhone,0
23,inside,up,5,5,iPhone,0
24,inside,down,1,2,iPhone,1
25,inside,middle,6,6,iPhone,0
26,outside,middle,8,8,iPhone,0
27,outside,up,7,4,iPhone,-3
28,outside,down,5,1,iPhone,-4
29,inside,up,10,7,iPhone,-3
30,inside,down,7,3,iPhone,-4
31,inside,up,5,5,iPhone,0
32,inside,middle,6,3,iPhone,-3
33,inside,down,6,4,iPhone,-2
34,outside,up,6,7,iPhone,1
35,outside,middle,6,4,iPhone,-2
36,outside,down,5,3,iPhone,-2
37,inside,up,5,6,iPhone,1
38,inside,middle,8,8,iPhone,0
39,inside,down,6,4,iPhone,-2
40,outside,up,4,6,iPhone,2
41,outside,middle,8,6,iPhone,-2
42,outside,down,2,1,iPhone,-1
43,outside,down,4,4,iPhone,0
44,inside,up,2,4,iPhone,2
45,inside,middle,3,6,iPhone,3
46,outside,up,4,3,iPhone,-1
47,inside,down,4,3,iPhone,-1
48,outside,middle,5,3,iPhone,-2
61,outside,middle,1,3,iPhone,2
62,outside,up,8,1,iPhone,-7
63,outside,down,4,4,iPhone,0
64,inside,down,5,4,iPhone,-1
65,inside,middle,7,7,Samsung,0
66,inside,up,6,4,iPhone,-2
67,inside,up,6,5,iPhone,-1
68,inside,middle,6,5,Samsung,-1
69,inside,down,5,2,iPhone,-3
70,outside,up,4,2,iPhone,-2
71,outside,middle,7,6,iPhone,-1
72,outside,down,7,5,iPhone,-2
73,inside,up,7,7,iPhone,0
74,inside,middle,6,4,iPhone,-2
75,inside,down,5,2,iPhone,-3
76,outside,up,6,7,Samsung,1
77,outside,middle,5,7,iPhone,2
78,outside,down,4,4,other,0
79,outside,up,2,4,iPhone,2
80,outside,middle,6,7,iPhone,1
81,outside,down,2,2,iPhone,0
82,inside,up,4,3,iPhone,-1
83,inside,middle,6,5,iPhone,-1
84,inside,down,5,1,iPhone,-4
85,inside,down,2,7,iPhone,5
86,outside,up,2,5,iPhone,3
87,outside,down,5,5,iPhone,0
88,inside,up,6,7,iPhone,1
89,outside,middle,3,5,iPhone,2
91,inside,middle,7,3,iPhone,-4
92,inside,up,3,1,iPhone,-2
93,inside,middle,3,7,iPhone,4
94,inside,down,8,7,iPhone,-1
95,outside,up,2,1,iPhone,-1
96,outside,middle,4,7,iPhone,3
97,outside,down,5,5,iPhone,0
98,inside,up,5,4,iPhone,-1
99,inside,middle,6,5,iPhone,-1
100,inside,down,2,1,iPhone,-1
101,outside,up,6.5,8,iPhone,1.5
102,outside,middle,7,9,iPhone,2
103,outside,down,5,1,iPhone,-4
