"Timestamp","Artist Letter","Picture Number","Correct (1 for yes, 0 for no)"
"2021/04/06 2:41:06 PM AST","H","3","1"
"2021/04/06 2:44:10 PM AST","H","1","1"
"2021/04/06 2:47:54 PM AST","D","2","0"
"2021/04/06 2:49:35 PM AST","A","1","0"
"2021/04/06 2:49:36 PM AST","A","1","0"
"2021/04/06 2:49:36 PM AST","A","1","0"
"2021/04/06 2:49:37 PM AST","A","1","0"
"2021/04/06 2:49:37 PM AST","A","1","0"
"2021/04/06 2:49:37 PM AST","A","1","0"
"2021/04/06 2:49:37 PM AST","A","1","0"
"2021/04/06 2:49:37 PM AST","A","1","0"
"2021/04/06 2:49:37 PM AST","A","1","0"
"2021/04/06 2:49:37 PM AST","A","1","0"
"2021/04/06 2:49:37 PM AST","A","1","0"
"2021/04/06 2:49:38 PM AST","A","1","0"
"2021/04/06 2:49:38 PM AST","A","1","0"
"2021/04/06 2:49:39 PM AST","A","1","0"
"2021/04/06 2:49:40 PM AST","A","1","0"
"2021/04/06 2:49:40 PM AST","A","1","0"
"2021/04/06 2:49:41 PM AST","A","1","0"
"2021/04/06 2:49:41 PM AST","A","1","0"
"2021/04/06 2:49:41 PM AST","A","1","0"
"2021/04/06 2:49:42 PM AST","A","1","0"
"2021/04/06 2:49:42 PM AST","A","1","0"
"2021/04/06 2:49:42 PM AST","A","1","0"
"2021/04/06 2:49:42 PM AST","A","1","0"
"2021/04/06 2:49:42 PM AST","A","1","0"
"2021/04/06 2:49:42 PM AST","A","1","0"
"2021/04/06 2:49:44 PM AST","A","1","0"
"2021/04/06 2:49:44 PM AST","A","1","0"
"2021/04/06 2:49:44 PM AST","A","1","0"
"2021/04/06 2:49:44 PM AST","A","1","0"
"2021/04/06 2:49:45 PM AST","A","1","0"
"2021/04/06 2:49:45 PM AST","A","1","0"
"2021/04/06 2:49:46 PM AST","A","1","0"
"2021/04/06 2:49:46 PM AST","A","1","0"
"2021/04/06 2:49:49 PM AST","A","1","0"
"2021/04/06 2:49:51 PM AST","A","1","0"
"2021/04/06 2:49:51 PM AST","A","1","0"
"2021/04/06 2:49:54 PM AST","A","1","0"
"2021/04/06 2:49:54 PM AST","A","1","0"
"2021/04/06 2:50:01 PM AST","A","1","0"
"2021/04/06 2:50:51 PM AST","A","1","0"
"2021/04/06 2:50:54 PM AST","A","1","1"
"2021/04/06 2:50:55 PM AST","A","1","0"
"2021/04/06 2:50:56 PM AST","A","1","0"
"2021/04/06 2:50:56 PM AST","A","1","0"
"2021/04/06 2:51:05 PM AST","A","2","1"
"2021/04/06 2:51:05 PM AST","A","2","1"
"2021/04/06 2:51:05 PM AST","A","2","0"
"2021/04/06 2:51:06 PM AST","A","2","1"
"2021/04/06 2:51:06 PM AST","A","2","1"
"2021/04/06 2:51:06 PM AST","A","2","1"
"2021/04/06 2:51:06 PM AST","A","2","1"
"2021/04/06 2:51:06 PM AST","A","2","1"
"2021/04/06 2:51:06 PM AST","A","2","0"
"2021/04/06 2:51:06 PM AST","A","2","1"
"2021/04/06 2:51:06 PM AST","A","2","1"
"2021/04/06 2:51:06 PM AST","A","2","0"
"2021/04/06 2:51:06 PM AST","A","2","1"
"2021/04/06 2:51:06 PM AST","A","2","1"
"2021/04/06 2:51:06 PM AST","A","2","0"
"2021/04/06 2:51:07 PM AST","A","2","1"
"2021/04/06 2:51:07 PM AST","A","2","1"
"2021/04/06 2:51:07 PM AST","A","2","1"
"2021/04/06 2:51:07 PM AST","A","2","1"
"2021/04/06 2:51:07 PM AST","A","2","1"
"2021/04/06 2:51:07 PM AST","A","2","1"
"2021/04/06 2:51:07 PM AST","","2","1"
"2021/04/06 2:51:08 PM AST","A","2","1"
"2021/04/06 2:51:08 PM AST","A","2","1"
"2021/04/06 2:51:08 PM AST","A","2","1"
"2021/04/06 2:51:08 PM AST","A","2","0"
"2021/04/06 2:51:08 PM AST","A","2","1"
"2021/04/06 2:51:08 PM AST","A","2","0"
"2021/04/06 2:51:08 PM AST","A","2","1"
"2021/04/06 2:51:09 PM AST","A","2","0"
"2021/04/06 2:51:09 PM AST","A","2","1"
"2021/04/06 2:51:09 PM AST","A","2","0"
"2021/04/06 2:51:09 PM AST","A","2","0"
"2021/04/06 2:51:09 PM AST","A","2","1"
"2021/04/06 2:51:10 PM AST","A","2","1"
"2021/04/06 2:51:10 PM AST","A","2","1"
"2021/04/06 2:51:10 PM AST","A","2","1"
"2021/04/06 2:51:10 PM AST","A","2","1"
"2021/04/06 2:51:12 PM AST","A","2","0"
"2021/04/06 2:51:13 PM AST","A","2","0"
"2021/04/06 2:51:13 PM AST","A","2","0"
"2021/04/06 2:51:14 PM AST","A","2","1"
"2021/04/06 2:51:15 PM AST","A","2","1"
"2021/04/06 2:51:15 PM AST","A","2","0"
"2021/04/06 2:51:30 PM AST","A","3","1"
"2021/04/06 2:51:30 PM AST","A","3","1"
"2021/04/06 2:51:30 PM AST","A","3","1"
"2021/04/06 2:51:30 PM AST","A","3","1"
"2021/04/06 2:51:30 PM AST","A","3","1"
"2021/04/06 2:51:30 PM AST","A","3","1"
"2021/04/06 2:51:31 PM AST","A","3","1"
"2021/04/06 2:51:31 PM AST","A","3","1"
"2021/04/06 2:51:31 PM AST","A","3","1"
"2021/04/06 2:51:31 PM AST","A","3","1"
"2021/04/06 2:51:31 PM AST","A","3","1"
"2021/04/06 2:51:31 PM AST","A","3","1"
"2021/04/06 2:51:31 PM AST","A","3","1"
"2021/04/06 2:51:31 PM AST","A","3","1"
"2021/04/06 2:51:31 PM AST","A","3","1"
"2021/04/06 2:51:31 PM AST","A","3","1"
"2021/04/06 2:51:31 PM AST","A","3","1"
"2021/04/06 2:51:31 PM AST","A","3","1"
"2021/04/06 2:51:32 PM AST","A","3","1"
"2021/04/06 2:51:32 PM AST","A","3","1"
"2021/04/06 2:51:32 PM AST","A","3","1"
"2021/04/06 2:51:32 PM AST","A","3","1"
"2021/04/06 2:51:32 PM AST","A","3","1"
"2021/04/06 2:51:32 PM AST","A","3","1"
"2021/04/06 2:51:32 PM AST","A","3","1"
